tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f-mcsoff,align,sim4,rye,pe,500,2000000,99.95035,993,96.08215,95.77234,99.6664,87.9,25.6205
bwamem,align,sim4,rye,pe,50,2000000,99.64775,151,73.1789,72.80328,73.6762,236.637,28.9675
bwamem,align,sim4,rye,pe,75,2000000,99.9515,197,83.1299,82.5804,83.72865,212.590,20.8233
bwamem,align,sim4,rye,pe,100,2000000,99.98685,246,87.8626,87.2292,88.4661,226.211,17.389
bwamem,align,sim4,rye,pe,150,2000000,99.98315,337,91.73475,91.0888,92.29845,299.624,14.7546
bwamem,align,sim4,rye,pe,200,2000000,99.9783,434,92.77195,92.19333,93.2939,370.917,13.8042
bwamem,align,sim4,rye,pe,300,2000000,99.97105,579,95.8714,95.41654,96.21155,577.059,13.0262
bwamem,align,sim4,rye,pe,500,2000000,99.95035,993,96.36715,96.03847,96.74325,964.019,12.6372
minimap2,align,sim4,rye,pe,50,2000000,88.38405,151,62.95395,62.75884,63.4788,46.038,20.9977
minimap2,align,sim4,rye,pe,75,2000000,96.3368,197,77.97285,77.55264,78.73945,65.434,20.6324
minimap2,align,sim4,rye,pe,100,2000000,98.4634,246,84.7151,84.15219,85.49575,79.300,20.2679
minimap2,align,sim4,rye,pe,150,2000000,99.6103,337,90.1642,89.59375,90.88315,96.518,19.9368
minimap2,align,sim4,rye,pe,200,2000000,99.8693,434,91.6859,91.17496,92.46555,125.745,19.8875
minimap2,align,sim4,rye,pe,300,2000000,99.95195,579,93.8842,93.48639,94.70715,327.050,19.8929
minimap2,align,sim4,rye,pe,500,2000000,99.9497,993,95.1229,94.81803,96.14295,1210.759,19.8366
strobealign-caa3745f,map,sim4,rye,pe,50,2000000,98.33465,105,58.85565,47.38202,,23.3,33.3787
strobealign-caa3745f,map,sim4,rye,pe,75,2000000,99.4512,141,69.8005,55.21955,,17.8,33.3574
strobealign-caa3745f,map,sim4,rye,pe,100,2000000,99.94825,205,76.2634,61.24698,,14.2,33.3897
strobealign-caa3745f,map,sim4,rye,pe,150,2000000,99.983,294,82.83615,70.30759,,15.0,33.4069
strobealign-caa3745f,map,sim4,rye,pe,200,2000000,99.9783,399,86.69275,75.75653,,17.2,33.4385
strobealign-caa3745f,map,sim4,rye,pe,300,2000000,99.97105,546,92.3652,82.25003,,27.5,33.439
strobealign-caa3745f,map,sim4,rye,pe,500,2000000,99.95035,980,94.67715,86.38804,,31.1,25.2544
strobealign-caa3745f-mcsoff,map,sim4,rye,pe,50,2000000,94.92295,81,53.95215,42.94095,,21.1,33.3785
strobealign-caa3745f-mcsoff,map,sim4,rye,pe,75,2000000,98.5435,132,67.49645,51.47635,,19.4,33.3574
strobealign-caa3745f-mcsoff,map,sim4,rye,pe,100,2000000,99.24665,196,74.3466,56.58662,,15.6,33.39
strobealign-caa3745f-mcsoff,map,sim4,rye,pe,150,2000000,99.733,285,81.5323,65.91005,,13.1,33.4077
strobealign-caa3745f-mcsoff,map,sim4,rye,pe,200,2000000,99.8939,384,85.78715,71.73043,,14.3,33.4385
strobealign-caa3745f-mcsoff,map,sim4,rye,pe,300,2000000,99.9695,534,91.9146,78.95704,,23.0,33.439
strobealign-caa3745f-mcsoff,map,sim4,rye,pe,500,2000000,99.95035,972,94.3284,83.35647,,33.4,25.6058
minimap2,map,sim4,rye,pe,50,2000000,88.42555,65,57.3023,40.06825,,37.154,20.1533
minimap2,map,sim4,rye,pe,75,2000000,96.35495,129,73.00805,51.51181,,51.926,19.9759
minimap2,map,sim4,rye,pe,100,2000000,98.4676,193,80.7154,58.25986,,62.284,19.7805
minimap2,map,sim4,rye,pe,150,2000000,99.6106,290,87.5359,65.81435,,70.795,19.6189
minimap2,map,sim4,rye,pe,200,2000000,99.8693,396,89.43105,63.91276,,85.613,19.5919
minimap2,map,sim4,rye,pe,300,2000000,99.95195,538,91.56355,80.16662,,286.756,19.6545
minimap2,map,sim4,rye,pe,500,2000000,99.9497,975,92.61695,83.12818,,1145.971,19.636
